,user_id,questionnaire_id,created_at,s01,s02,s03,s04,s05,s06,s07,s08
1050,1345,6,2020-10-19 09:25:03.797468356,YES,74,70.0,79.0,76.0,18.0,14.0,NO
336,1345,6,2020-10-23 15:11:23.544303800,YES,80,76.0,65.0,58.0,47.0,93.0,NO
6509,1345,6,2020-10-27 20:57:43.291139244,YES,80,79.0,100.0,0.0,60.0,78.0,NO
6597,1345,6,2020-11-01 02:44:03.037974684,YES,93,34.0,96.0,6.0,29.0,88.0,YES
2586,1345,6,2020-11-05 08:30:22.784810128,YES,72,73.0,19.0,76.0,27.0,64.0,YES
6953,1345,6,2020-11-09 14:16:42.531645572,YES,100,96.0,49.0,51.0,85.0,100.0,NO
1670,1345,6,2020-11-13 20:03:02.278481016,YES,67,63.0,63.0,38.0,9.0,0.0,NO
5410,1345,6,2020-11-18 01:49:22.025316456,YES,81,82.0,100.0,0.0,23.0,65.0,NO
985,1345,6,2020-11-22 07:35:41.772151900,YES,45,44.0,47.0,51.0,17.0,24.0,NO
3221,1345,6,2020-11-26 13:22:01.518987344,YES,81,79.0,73.0,22.0,26.0,27.0,NO
6833,1345,6,2020-11-30 19:08:21.265822788,YES,40,34.0,86.0,7.0,27.0,25.0,NO
78,1345,6,2020-12-05 00:54:41.012658228,YES,67,49.0,83.0,,42.0,34.0,NO
2712,1345,6,2020-12-09 06:41:00.759493672,YES,80,72.0,91.0,40.0,25.0,25.0,NO
2291,1345,6,2020-12-13 12:27:20.506329116,YES,84,77.0,82.0,67.0,36.0,37.0,NO
2608,1345,6,2020-12-17 18:13:40.253164560,YES,66,57.0,59.0,38.0,49.0,33.0,YES
1572,1345,6,2020-12-22 00:00:00,YES,72,44.0,83.0,43.0,0.0,0.0,NO
2832,1346,6,2020-01-22 00:00:00,YES,86,24.0,79.0,24.0,3.0,13.0,YES
1553,1346,6,2020-01-23 16:24:07.236180904,NO,34,24.0,68.0,22.0,0.0,18.0,NO
5272,1346,6,2020-01-25 08:48:14.472361809,NO,41,44.0,100.0,0.0,34.0,51.0,
4662,1346,6,2020-01-27 01:12:21.708542713,NO,47,0.0,100.0,0.0,0.0,0.0,NO
5920,1346,6,2020-01-28 17:36:28.944723618,YES,48,29.0,50.0,29.0,19.0,18.0,NO
4142,1346,6,2020-01-30 10:00:36.180904522,YES,82,12.0,94.0,12.0,23.0,42.0,YES
5250,1346,6,2020-02-01 02:24:43.417085427,NO,55,35.0,90.0,0.0,19.0,30.0,NO
4971,1346,6,2020-02-02 18:48:50.653266331,YES,24,15.0,82.0,14.0,14.0,14.0,NO
7316,1346,6,2020-02-04 11:12:57.889447236,NO,62,21.0,87.0,8.0,41.0,55.0,NO
2276,1346,6,2020-02-06 03:37:05.125628140,YES,23,28.0,83.0,21.0,30.0,34.0,NO
6924,1346,6,2020-02-07 20:01:12.361809045,YES,16,20.0,71.0,17.0,15.0,15.0,NO
4042,1346,6,2020-02-09 12:25:19.597989949,YES,82,36.0,82.0,18.0,32.0,33.0,NO
5217,1346,6,2020-02-11 04:49:26.834170854,YES,46,39.0,98.0,8.0,54.0,34.0,NO
1707,1346,6,2020-02-12 21:13:34.070351759,YES,4,5.0,94.0,5.0,10.0,4.0,NO
5201,1346,6,2020-02-14 13:37:41.306532663,YES,16,15.0,77.0,15.0,16.0,,NO
2626,1346,6,2020-02-16 06:01:48.542713568,YES,76,63.0,65.0,,0.0,15.0,NO
2482,1346,6,2020-02-17 22:25:55.778894472,YES,81,82.0,100.0,0.0,0.0,15.0,NO
980,1346,6,2020-02-19 14:50:03.015075377,NO,55,22.0,53.0,20.0,5.0,28.0,NO
6398,1346,6,2020-02-21 07:14:10.251256281,YES,94,35.0,78.0,30.0,12.0,24.0,YES
6842,1346,6,2020-02-22 23:38:17.487437186,YES,81,9.0,99.0,3.0,17.0,54.0,YES
2708,1346,6,2020-02-24 16:02:24.723618090,YES,61,44.0,48.0,22.0,11.0,57.0,NO
4871,1346,6,2020-02-26 08:26:31.959798995,NO,66,0.0,86.0,0.0,0.0,0.0,NO
6720,1346,6,2020-02-28 00:50:39.195979899,YES,78,49.0,91.0,11.0,35.0,16.0,NO
1054,1346,6,2020-02-29 17:14:46.432160804,NO,14,0.0,86.0,4.0,66.0,56.0,NO
3338,1346,6,2020-03-02 09:38:53.668341709,NO,43,19.0,68.0,18.0,8.0,8.0,NO
377,1346,6,2020-03-04 02:03:00.904522613,YES,23,12.0,67.0,30.0,12.0,19.0,NO
2043,1346,6,2020-03-05 18:27:08.140703518,YES,89,88.0,100.0,0.0,4.0,4.0,NO
2573,1346,6,2020-03-07 10:51:15.376884422,YES,68,64.0,50.0,46.0,33.0,29.0,YES
3536,1346,6,2020-03-09 03:15:22.613065327,YES,50,40.0,60.0,32.0,30.0,26.0,YES
6819,1346,6,2020-03-10 19:39:29.849246231,NO,66,30.0,90.0,0.0,0.0,54.0,NO
3274,1346,6,2020-03-12 12:03:37.085427136,NO,63,63.0,33.0,57.0,66.0,64.0,YES
803,1346,6,2020-03-14 04:27:44.321608040,NO,47,28.0,66.0,22.0,18.0,26.0,YES
1928,1346,6,2020-03-15 20:51:51.557788945,YES,97,100.0,61.0,52.0,58.0,62.0,NO
6949,1346,6,2020-03-17 13:15:58.793969850,YES,71,52.0,80.0,70.0,42.0,18.0,NO
6415,1346,6,2020-03-19 05:40:06.030150754,YES,21,15.0,70.0,34.0,12.0,4.0,YES
3966,1346,6,2020-03-20 22:04:13.266331659,YES,47,40.0,78.0,17.0,72.0,26.0,NO
4810,1346,6,2020-03-22 14:28:20.502512563,YES,26,22.0,40.0,21.0,0.0,0.0,NO
6780,1346,6,2020-03-24 06:52:27.738693468,YES,24,27.0,100.0,0.0,21.0,18.0,NO
4716,1346,6,2020-03-25 23:16:34.974874372,YES,35,37.0,,,25.0,48.0,NO
1189,1346,6,2020-03-27 15:40:42.211055277,YES,26,24.0,71.0,20.0,28.0,40.0,NO
6232,1346,6,2020-03-29 08:04:49.447236181,YES,51,30.0,64.0,32.0,15.0,27.0,NO
2478,1346,6,2020-03-31 00:28:56.683417086,YES,83,81.0,46.0,49.0,1.0,16.0,NO
6025,1346,6,2020-04-01 16:53:03.919597990,YES,63,16.0,86.0,12.0,1.0,2.0,NO
324,1346,6,2020-04-03 09:17:11.155778895,YES,4,2.0,99.0,2.0,1.0,2.0,NO
4166,1346,6,2020-04-05 01:41:18.391959799,YES,26,29.0,79.0,6.0,18.0,5.0,YES
3726,1346,6,2020-04-06 18:05:25.628140704,YES,48,50.0,39.0,28.0,34.0,35.0,YES
5493,1346,6,2020-04-08 10:29:32.864321608,NO,57,10.0,96.0,0.0,2.0,6.0,NO
450,1346,6,2020-04-10 02:53:40.100502513,YES,46,51.0,47.0,46.0,15.0,52.0,NO
1747,1346,6,2020-04-11 19:17:47.336683418,YES,80,56.0,47.0,37.0,0.0,23.0,NO
2965,1346,6,2020-04-13 11:41:54.572864322,YES,33,30.0,72.0,5.0,23.0,0.0,YES
6834,1346,6,2020-04-15 04:06:01.809045227,YES,37,34.0,83.0,15.0,41.0,43.0,NO
3419,1346,6,2020-04-16 20:30:09.045226131,YES,7,6.0,91.0,6.0,5.0,6.0,NO
1460,1346,6,2020-04-18 12:54:16.281407036,YES,30,30.0,71.0,26.0,39.0,27.0,NO
6068,1346,6,2020-04-20 05:18:23.517587940,YES,23,16.0,72.0,22.0,14.0,17.0,NO
2981,1346,6,2020-04-21 21:42:30.753768845,YES,87,84.0,86.0,21.0,28.0,25.0,NO
475,1346,6,2020-04-23 14:06:37.989949749,YES,91,100.0,85.0,81.0,26.0,29.0,NO
4726,1346,6,2020-04-25 06:30:45.226130654,YES,84,85.0,47.0,65.0,38.0,54.0,NO
6472,1346,6,2020-04-26 22:54:52.462311558,YES,42,43.0,100.0,6.0,36.0,47.0,NO
275,1346,6,2020-04-28 15:18:59.698492463,YES,41,19.0,100.0,14.0,27.0,40.0,NO
5894,1346,6,2020-04-30 07:43:06.934673367,YES,62,62.0,52.0,24.0,61.0,94.0,NO
3993,1346,6,2020-05-02 00:07:14.170854272,YES,24,25.0,83.0,6.0,9.0,0.0,YES
3812,1346,6,2020-05-03 16:31:21.407035176,YES,87,36.0,79.0,37.0,40.0,41.0,NO
961,1346,6,2020-05-05 08:55:28.643216080,YES,27,23.0,77.0,27.0,21.0,28.0,NO
999,1346,6,2020-05-07 01:19:35.879396986,YES,48,45.0,83.0,22.0,28.0,34.0,NO
5161,1346,6,2020-05-08 17:43:43.115577890,YES,55,51.0,28.0,52.0,27.0,33.0,NO
2620,1346,6,2020-05-10 10:07:50.351758794,YES,89,89.0,100.0,0.0,0.0,16.0,NO
1317,1346,6,2020-05-12 02:31:57.587939700,YES,28,24.0,71.0,19.0,14.0,8.0,YES
6151,1346,6,2020-05-13 18:56:04.824120604,YES,45,33.0,92.0,8.0,26.0,45.0,
1976,1346,6,2020-05-15 11:20:12.060301508,YES,95,93.0,73.0,66.0,49.0,48.0,NO
1199,1346,6,2020-05-17 03:44:19.296482412,YES,70,71.0,62.0,64.0,46.0,45.0,NO
4224,1346,6,2020-05-18 20:08:26.532663318,YES,79,36.0,78.0,29.0,38.0,40.0,NO
5718,1346,6,2020-05-20 12:32:33.768844222,YES,87,64.0,54.0,35.0,34.0,26.0,NO
2164,1346,6,2020-05-22 04:56:41.005025126,NO,21,37.0,71.0,0.0,29.0,,NO
5733,1346,6,2020-05-23 21:20:48.241206030,YES,19,19.0,16.0,19.0,0.0,45.0,NO
135,1346,6,2020-05-25 13:44:55.477386936,YES,16,18.0,96.0,3.0,29.0,11.0,NO
1910,1346,6,2020-05-27 06:09:02.713567840,YES,65,69.0,50.0,34.0,47.0,37.0,YES
5618,1346,6,2020-05-28 22:33:09.949748744,NO,3,4.0,95.0,3.0,5.0,27.0,NO
6669,1346,6,2020-05-30 14:57:17.185929648,YES,61,59.0,67.0,32.0,15.0,4.0,YES
3901,1346,6,2020-06-01 07:21:24.422110554,YES,54,52.0,77.0,28.0,33.0,63.0,YES
4173,1346,6,2020-06-02 23:45:31.658291458,YES,84,32.0,81.0,30.0,34.0,29.0,NO
4093,1346,6,2020-06-04 16:09:38.894472362,YES,45,35.0,85.0,19.0,31.0,57.0,YES
5432,1346,6,2020-06-06 08:33:46.130653268,YES,86,65.0,84.0,18.0,0.0,0.0,NO
1235,1346,6,2020-06-08 00:57:53.366834172,YES,80,79.0,47.0,40.0,72.0,52.0,NO
3738,1346,6,2020-06-09 17:22:00.603015076,YES,33,33.0,89.0,5.0,10.0,0.0,YES
4561,1346,6,2020-06-11 09:46:07.839195980,YES,41,32.0,55.0,53.0,16.0,19.0,NO
6725,1346,6,2020-06-13 02:10:15.075376886,YES,92,25.0,95.0,11.0,18.0,72.0,YES
2357,1346,6,2020-06-14 18:34:22.311557790,YES,81,21.0,80.0,21.0,0.0,22.0,YES
2349,1346,6,2020-06-16 10:58:29.547738694,YES,73,65.0,75.0,68.0,35.0,44.0,NO
1153,1346,6,2020-06-18 03:22:36.783919598,YES,71,64.0,63.0,56.0,45.0,64.0,YES
2631,1346,6,2020-06-19 19:46:44.020100504,YES,61,49.0,51.0,42.0,27.0,29.0,YES
206,1346,6,2020-06-21 12:10:51.256281408,YES,3,3.0,97.0,3.0,4.0,0.0,NO
3591,1346,6,2020-06-23 04:34:58.492462312,NO,0,25.0,71.0,44.0,3.0,46.0,NO
6116,1346,6,2020-06-24 20:59:05.728643216,YES,43,42.0,83.0,19.0,33.0,49.0,NO
2882,1346,6,2020-06-26 13:23:12.964824122,YES,83,76.0,27.0,75.0,25.0,59.0,NO
2163,1346,6,2020-06-28 05:47:20.201005026,YES,30,29.0,83.0,21.0,2.0,0.0,YES
6816,1346,6,2020-06-29 22:11:27.437185930,YES,94,19.0,95.0,8.0,2.0,56.0,YES
4044,1346,6,2020-07-01 14:35:34.673366836,YES,27,27.0,79.0,21.0,53.0,29.0,NO
781,1346,6,2020-07-03 06:59:41.909547740,YES,54,55.0,32.0,49.0,51.0,50.0,NO
3977,1346,6,2020-07-04 23:23:49.145728644,YES,29,30.0,91.0,3.0,18.0,18.0,NO
6577,1346,6,2020-07-06 15:47:56.381909548,YES,35,32.0,91.0,3.0,28.0,40.0,NO
940,1346,6,2020-07-08 08:12:03.618090454,YES,48,56.0,89.0,0.0,0.0,0.0,NO
3088,1346,6,2020-07-10 00:36:10.854271358,YES,78,51.0,81.0,2.0,1.0,24.0,YES
2332,1346,6,2020-07-11 17:00:18.090452262,YES,83,77.0,80.0,49.0,26.0,29.0,NO
510,1346,6,2020-07-13 09:24:25.326633166,YES,6,6.0,96.0,6.0,7.0,6.0,NO
6750,1346,6,2020-07-15 01:48:32.562814072,YES,60,78.0,100.0,0.0,62.0,60.0,NO
6841,1346,6,2020-07-16 18:12:39.798994976,YES,34,16.0,96.0,0.0,16.0,11.0,NO
4351,1346,6,2020-07-18 10:36:47.035175880,YES,76,75.0,61.0,51.0,60.0,61.0,NO
6332,1346,6,2020-07-20 03:00:54.271356784,YES,82,71.0,99.0,10.0,25.0,,YES
3327,1346,6,2020-07-21 19:25:01.507537690,YES,80,88.0,100.0,2.0,0.0,21.0,NO
4659,1346,6,2020-07-23 11:49:08.743718594,YES,80,47.0,33.0,32.0,34.0,32.0,NO
1828,1346,6,2020-07-25 04:13:15.979899498,NO,1,0.0,57.0,57.0,0.0,68.0,NO
4474,1346,6,2020-07-26 20:37:23.216080402,YES,11,6.0,88.0,1.0,12.0,6.0,NO
4847,1346,6,2020-07-28 13:01:30.452261308,NO,22,26.0,100.0,0.0,0.0,63.0,
3820,1346,6,2020-07-30 05:25:37.688442212,YES,87,45.0,83.0,40.0,29.0,29.0,NO
3896,1346,6,2020-07-31 21:49:44.924623116,YES,79,38.0,77.0,29.0,33.0,35.0,NO
6660,1346,6,2020-08-02 14:13:52.160804022,YES,50,64.0,53.0,62.0,39.0,60.0,NO
1154,1346,6,2020-08-04 06:37:59.396984926,YES,83,84.0,42.0,56.0,48.0,27.0,NO
6343,1346,6,2020-08-05 23:02:06.633165830,YES,95,80.0,17.0,0.0,52.0,50.0,NO
6692,1346,6,2020-08-07 15:26:13.869346734,NO,39,34.0,7.0,50.0,16.0,16.0,NO
257,1346,6,2020-08-09 07:50:21.105527640,YES,37,41.0,53.0,39.0,28.0,34.0,YES
4175,1346,6,2020-08-11 00:14:28.341708544,YES,89,25.0,89.0,18.0,9.0,42.0,YES
3727,1346,6,2020-08-12 16:38:35.577889448,YES,39,24.0,67.0,29.0,52.0,33.0,NO
7135,1346,6,2020-08-14 09:02:42.814070352,YES,100,92.0,53.0,50.0,72.0,85.0,NO
4121,1346,6,2020-08-16 01:26:50.050251258,YES,94,92.0,100.0,1.0,1.0,7.0,NO
3426,1346,6,2020-08-17 17:50:57.286432160,YES,75,73.0,53.0,54.0,49.0,54.0,NO
5243,1346,6,2020-08-19 10:15:04.522613068,YES,67,59.0,100.0,0.0,63.0,65.0,NO
4243,1346,6,2020-08-21 02:39:11.758793972,YES,84,13.0,94.0,6.0,0.0,60.0,YES
4626,1346,6,2020-08-22 19:03:18.994974876,YES,46,22.0,,42.0,17.0,23.0,NO
220,1346,6,2020-08-24 11:27:26.231155780,YES,50,52.0,36.0,25.0,48.0,50.0,YES
7052,1346,6,2020-08-26 03:51:33.467336684,YES,62,57.0,21.0,10.0,36.0,56.0,NO
4833,1346,6,2020-08-27 20:15:40.703517588,YES,71,63.0,100.0,0.0,9.0,52.0,
1876,1346,6,2020-08-29 12:39:47.939698492,YES,94,92.0,100.0,51.0,35.0,40.0,NO
4113,1346,6,2020-08-31 05:03:55.175879400,YES,84,42.0,90.0,26.0,30.0,29.0,NO
4882,1346,6,2020-09-01 21:28:02.412060304,NO,61,23.0,87.0,3.0,21.0,9.0,NO
1216,1346,6,2020-09-03 13:52:09.648241208,YES,61,66.0,100.0,0.0,41.0,51.0,NO
5968,1346,6,2020-09-05 06:16:16.884422112,YES,34,24.0,58.0,28.0,7.0,24.0,NO
4403,1346,6,2020-09-06 22:40:24.120603016,YES,94,24.0,94.0,2.0,3.0,80.0,YES
391,1346,6,2020-09-08 15:04:31.356783920,YES,43,33.0,58.0,39.0,31.0,44.0,NO
1249,1346,6,2020-09-10 07:28:38.592964824,YES,54,59.0,53.0,52.0,45.0,32.0,YES
4193,1346,6,2020-09-11 23:52:45.829145728,YES,82,39.0,79.0,33.0,35.0,35.0,NO
1239,1346,6,2020-09-13 16:16:53.065326636,YES,92,98.0,66.0,59.0,44.0,57.0,NO
731,1346,6,2020-09-15 08:41:00.301507540,YES,71,64.0,86.0,9.0,0.0,0.0,NO
572,1346,6,2020-09-17 01:05:07.537688444,NO,5,6.0,95.0,2.0,6.0,0.0,NO
7246,1346,6,2020-09-18 17:29:14.773869348,YES,66,64.0,38.0,62.0,12.0,28.0,NO
5038,1346,6,2020-09-20 09:53:22.010050252,NO,68,24.0,88.0,3.0,1.0,40.0,NO
3538,1346,6,2020-09-22 02:17:29.246231156,YES,83,86.0,100.0,0.0,0.0,4.0,NO
173,1346,6,2020-09-23 18:41:36.482412060,YES,100,98.0,50.0,60.0,85.0,76.0,YES
5208,1346,6,2020-09-25 11:05:43.718592968,YES,92,82.0,63.0,28.0,52.0,77.0,NO
3395,1346,6,2020-09-27 03:29:50.954773872,YES,30,34.0,73.0,31.0,57.0,37.0,NO
773,1346,6,2020-09-28 19:53:58.190954776,YES,16,25.0,79.0,21.0,21.0,23.0,NO
7112,1346,6,2020-09-30 12:18:05.427135680,YES,96,69.0,96.0,9.0,42.0,44.0,NO
5236,1346,6,2020-10-02 04:42:12.663316584,NO,15,5.0,92.0,7.0,4.0,33.0,NO
5831,1346,6,2020-10-03 21:06:19.899497488,NO,4,4.0,95.0,3.0,10.0,34.0,NO
5836,1346,6,2020-10-05 13:30:27.135678392,NO,77,50.0,100.0,0.0,40.0,81.0,NO
2966,1346,6,2020-10-07 05:54:34.371859296,YES,76,68.0,86.0,25.0,25.0,26.0,NO
5020,1346,6,2020-10-08 22:18:41.608040204,YES,24,17.0,85.0,19.0,17.0,17.0,NO
2430,1346,6,2020-10-10 14:42:48.844221108,YES,84,77.0,53.0,55.0,0.0,17.0,NO
1582,1346,6,2020-10-12 07:06:56.080402012,YES,37,38.0,77.0,17.0,17.0,11.0,YES
2444,1346,6,2020-10-13 23:31:03.316582916,YES,73,63.0,57.0,47.0,58.0,49.0,NO
1826,1346,6,2020-10-15 15:55:10.552763820,YES,29,33.0,69.0,30.0,33.0,59.0,NO
3655,1346,6,2020-10-17 08:19:17.788944724,YES,76,76.0,57.0,42.0,70.0,47.0,NO
6201,1346,6,2020-10-19 00:43:25.025125628,YES,16,20.0,83.0,17.0,23.0,17.0,NO
1506,1346,6,2020-10-20 17:07:32.261306536,YES,33,31.0,71.0,26.0,48.0,43.0,NO
3534,1346,6,2020-10-22 09:31:39.497487440,YES,40,40.0,79.0,21.0,29.0,45.0,YES
5009,1346,6,2020-10-24 01:55:46.733668344,YES,20,14.0,95.0,70.0,29.0,13.0,NO
5630,1346,6,2020-10-25 18:19:53.969849248,YES,36,30.0,62.0,64.0,56.0,76.0,NO
2682,1346,6,2020-10-27 10:44:01.206030152,YES,60,57.0,52.0,40.0,29.0,29.0,YES
462,1346,6,2020-10-29 03:08:08.442211056,YES,38,38.0,49.0,32.0,24.0,36.0,YES
2895,1346,6,2020-10-30 19:32:15.678391960,YES,77,81.0,100.0,0.0,0.0,14.0,NO
2814,1346,6,2020-11-01 11:56:22.914572864,YES,29,32.0,70.0,26.0,36.0,36.0,NO
6117,1346,6,2020-11-03 04:20:30.150753772,YES,42,47.0,82.0,19.0,33.0,42.0,NO
4696,1346,6,2020-11-04 20:44:37.386934676,YES,34,37.0,100.0,0.0,23.0,46.0,NO
5387,1346,6,2020-11-06 13:08:44.623115580,NO,44,30.0,100.0,0.0,14.0,0.0,NO
5818,1346,6,2020-11-08 05:32:51.859296484,YES,85,82.0,20.0,14.0,62.0,62.0,NO
1518,1346,6,2020-11-09 21:56:59.095477388,YES,10,9.0,94.0,7.0,14.0,7.0,NO
6074,1346,6,2020-11-11 14:21:06.331658292,NO,5,7.0,99.0,7.0,6.0,17.0,NO
5523,1346,6,2020-11-13 06:45:13.567839196,NO,0,0.0,100.0,0.0,3.0,14.0,NO
6113,1346,6,2020-11-14 23:09:20.804020104,YES,19,14.0,90.0,7.0,14.0,25.0,NO
4521,1346,6,2020-11-16 15:33:28.040201008,YES,96,78.0,10.0,6.0,13.0,50.0,NO
3056,1346,6,2020-11-18 07:57:35.276381912,NO,49,49.0,46.0,35.0,41.0,52.0,YES
237,1346,6,2020-11-20 00:21:42.512562816,YES,47,43.0,56.0,0.0,4.0,5.0,YES
605,1346,6,2020-11-21 16:45:49.748743720,YES,80,75.0,72.0,65.0,48.0,47.0,YES
1474,1346,6,2020-11-23 09:09:56.984924624,YES,5,0.0,85.0,0.0,0.0,0.0,YES
1668,1346,6,2020-11-25 01:34:04.221105528,YES,36,28.0,67.0,20.0,26.0,22.0,YES
3229,1346,6,2020-11-26 17:58:11.457286432,YES,93,85.0,86.0,23.0,5.0,15.0,YES
4157,1346,6,2020-11-28 10:22:18.693467340,YES,89,86.0,85.0,0.0,0.0,0.0,NO
3624,1346,6,2020-11-30 02:46:25.929648244,YES,82,91.0,100.0,0.0,0.0,0.0,NO
2842,1346,6,2020-12-01 19:10:33.165829148,YES,82,67.0,51.0,54.0,0.0,20.0,NO
157,1346,6,2020-12-03 11:34:40.402010052,YES,4,2.0,95.0,2.0,0.0,0.0,NO
217,1346,6,2020-12-05 03:58:47.638190956,YES,57,49.0,44.0,40.0,39.0,28.0,YES
5177,1346,6,2020-12-06 20:22:54.874371860,YES,58,44.0,100.0,0.0,44.0,48.0,NO
727,1346,6,2020-12-08 12:47:02.110552764,YES,69,31.0,90.0,11.0,0.0,0.0,NO
4730,1346,6,2020-12-10 05:11:09.346733672,YES,24,30.0,67.0,25.0,27.0,21.0,NO
807,1346,6,2020-12-11 21:35:16.582914576,YES,40,58.0,,45.0,29.0,36.0,YES
1591,1346,6,2020-12-13 13:59:23.819095480,YES,75,69.0,52.0,59.0,38.0,38.0,NO
5355,1346,6,2020-12-15 06:23:31.055276384,YES,17,14.0,87.0,19.0,15.0,13.0,NO
2032,1346,6,2020-12-16 22:47:38.291457288,YES,97,28.0,98.0,22.0,2.0,5.0,YES
3593,1346,6,2020-12-18 15:11:45.527638192,NO,4,20.0,69.0,45.0,3.0,48.0,NO
894,1346,6,2020-12-20 07:35:52.763819096,YES,53,61.0,64.0,40.0,38.0,46.0,YES
6230,1346,6,2020-12-22 00:00:00,YES,34,37.0,66.0,33.0,21.0,0.0,YES
7272,1347,6,2020-01-22 00:00:00,YES,91,79.0,99.0,7.0,64.0,83.0,NO
3068,1347,6,2020-01-26 05:46:19.746835443,NO,54,36.0,53.0,30.0,21.0,53.0,NO
4291,1347,6,2020-01-30 11:32:39.493670886,YES,82,29.0,77.0,27.0,25.0,25.0,NO
5176,1347,6,2020-02-03 17:18:59.240506329,NO,2,0.0,100.0,3.0,2.0,3.0,NO
2234,1347,6,2020-02-07 23:05:18.987341772,YES,72,66.0,57.0,50.0,45.0,41.0,NO
5040,1347,6,2020-02-12 04:51:38.734177215,NO,52,41.0,78.0,9.0,65.0,73.0,NO
956,1347,6,2020-02-16 10:37:58.481012658,YES,6,5.0,96.0,2.0,3.0,0.0,NO
4544,1347,6,2020-02-20 16:24:18.227848101,YES,69,12.0,49.0,7.0,0.0,0.0,NO
3760,1347,6,2020-02-24 22:10:37.974683544,YES,29,31.0,72.0,30.0,31.0,35.0,NO
989,1347,6,2020-02-29 03:56:57.721518987,YES,79,73.0,45.0,61.0,55.0,48.0,YES
5091,1347,6,2020-03-04 09:43:17.468354430,NO,20,11.0,100.0,0.0,12.0,13.0,NO
3124,1347,6,2020-03-08 15:29:37.215189873,YES,42,39.0,66.0,27.0,28.0,30.0,YES
7192,1347,6,2020-03-12 21:15:56.962025317,YES,29,26.0,83.0,16.0,28.0,29.0,NO
4163,1347,6,2020-03-17 03:02:16.708860760,YES,32,31.0,73.0,12.0,23.0,2.0,YES
7275,1347,6,2020-03-21 08:48:36.455696203,YES,65,69.0,61.0,60.0,60.0,88.0,YES
6538,1347,6,2020-03-25 14:34:56.202531646,YES,59,75.0,82.0,15.0,74.0,76.0,NO
2771,1347,6,2020-03-29 20:21:15.949367089,YES,72,69.0,57.0,42.0,57.0,42.0,YES
624,1347,6,2020-04-03 02:07:35.696202532,YES,71,67.0,100.0,4.0,48.0,67.0,NO
3154,1347,6,2020-04-07 07:53:55.443037975,YES,79,80.0,53.0,46.0,70.0,39.0,NO
6848,1347,6,2020-04-11 13:40:15.189873418,YES,30,24.0,94.0,3.0,27.0,20.0,NO
3248,1347,6,2020-04-15 19:26:34.936708861,YES,79,71.0,85.0,27.0,38.0,35.0,NO
432,1347,6,2020-04-20 01:12:54.683544304,YES,46,48.0,56.0,43.0,33.0,36.0,YES
6479,1347,6,2020-04-24 06:59:14.430379747,YES,24,26.0,63.0,33.0,15.0,8.0,NO
3649,1347,6,2020-04-28 12:45:34.177215190,YES,64,63.0,67.0,34.0,40.0,45.0,YES
1522,1347,6,2020-05-02 18:31:53.924050634,YES,12,8.0,73.0,0.0,0.0,0.0,YES
3455,1347,6,2020-05-07 00:18:13.670886076,NO,0,0.0,77.0,43.0,0.0,45.0,NO
2891,1347,6,2020-05-11 06:04:33.417721520,YES,100,52.0,47.0,0.0,100.0,0.0,NO
1103,1347,6,2020-05-15 11:50:53.164556962,YES,39,40.0,82.0,8.0,53.0,52.0,NO
7208,1347,6,2020-05-19 17:37:12.911392406,YES,44,44.0,100.0,3.0,18.0,18.0,
813,1347,6,2020-05-23 23:23:32.658227848,YES,37,48.0,82.0,28.0,15.0,19.0,NO
4552,1347,6,2020-05-28 05:09:52.405063292,NO,30,33.0,100.0,0.0,34.0,31.0,
3195,1347,6,2020-06-01 10:56:12.151898734,NO,1,0.0,78.0,14.0,0.0,22.0,NO
5729,1347,6,2020-06-05 16:42:31.898734178,YES,53,26.0,24.0,3.0,24.0,47.0,NO
5506,1347,6,2020-06-09 22:28:51.645569622,YES,85,83.0,100.0,0.0,81.0,82.0,NO
3413,1347,6,2020-06-14 04:15:11.392405064,YES,64,84.0,82.0,11.0,32.0,60.0,NO
6424,1347,6,2020-06-18 10:01:31.139240508,YES,32,34.0,96.0,6.0,18.0,36.0,NO
2365,1347,6,2020-06-22 15:47:50.886075950,YES,77,74.0,100.0,0.0,0.0,0.0,NO
4294,1347,6,2020-06-26 21:34:10.632911394,YES,80,32.0,76.0,30.0,31.0,25.0,NO
7269,1347,6,2020-07-01 03:20:30.379746836,YES,42,33.0,83.0,17.0,34.0,37.0,NO
5038,1347,6,2020-07-05 09:06:50.126582280,NO,68,24.0,88.0,3.0,1.0,40.0,NO
5709,1347,6,2020-07-09 14:53:09.873417722,YES,19,15.0,43.0,19.0,2.0,22.0,NO
2791,1347,6,2020-07-13 20:39:29.620253166,YES,32,33.0,79.0,25.0,46.0,40.0,NO
1554,1347,6,2020-07-18 02:25:49.367088608,NO,40,43.0,56.0,25.0,18.0,37.0,NO
198,1347,6,2020-07-22 08:12:09.113924052,YES,87,83.0,63.0,60.0,89.0,75.0,NO
2076,1347,6,2020-07-26 13:58:28.860759494,YES,85,76.0,51.0,43.0,0.0,0.0,NO
4340,1347,6,2020-07-30 19:44:48.607594938,YES,81,13.0,95.0,6.0,21.0,16.0,YES
2921,1347,6,2020-08-04 01:31:08.354430380,YES,68,65.0,53.0,50.0,45.0,44.0,NO
1559,1347,6,2020-08-08 07:17:28.101265824,YES,97,73.0,77.0,26.0,30.0,26.0,YES
1969,1347,6,2020-08-12 13:03:47.848101268,YES,97,97.0,66.0,52.0,46.0,47.0,NO
